city,rooms_semi_integer,rooms,extra_space,floor,surface_m2,NIS,property_type,price_surface
Holon,3,3,0,1,70,4500,apartment,64.29
Holon,3,3,0,7,75,4800,apartment,64
Holon,4,4,0,2,80,5900,apartment,73.75
Holon,3.5,3,1,1,180,5000,apartment,27.78
Holon,3,3,0,3,75,4950,apartment,66
Holon,5,5,0,6,140,8000,apartment,57.14
Holon,1,1,0,1,27,3000,housing unit,111.11
Holon,1,1,0,0,45,3650,apartment,81.11
Holon,1,1,0,1,20,3000,housing unit,150
Holon,4,4,0,8,100,6900,apartment,69
Holon,2.5,2,1,1,50,4000,apartment,80
Holon,3,3,0,3,94,4800,apartment,51.06
Holon,3,3,0,4,55,3500,apartment,63.64
Holon,4,4,0,2,110,5300,apartment,48.18
Holon,4.5,4,1,5,96,4900,apartment,51.04
Holon,5,5,0,6,130,7800,apartment,60
Holon,1.5,1,1,1,30,3300,apartment,110
Holon,3,3,0,2,85,4750,apartment,55.88
Holon,5,5,0,5,125,7700,apartment,61.6
Holon,5,5,0,3,162,9400,apartment,58.02
Holon,2.5,2,1,3,70,3800,apartment,54.29
Holon,3,3,0,1,80,5100,apartment,63.75
Holon,5,5,0,9,125,7500,apartment,60
Holon,4,4,0,1,110,6150,apartment,55.91
Holon,3,3,0,4,68,4250,apartment,62.5
Holon,3,3,0,1,74,4100,apartment,55.41
Holon,4,4,0,2,100,5950,apartment,59.5
Holon,5,5,0,0,320,9500,garden apartment,29.69
Bat Yam,2,2,0,18,50,6000,apartment,120
Bat Yam,2,2,0,3,56,3700,apartment,66.07
Bat Yam,5,5,0,24,147,8700,apartment,59.18
Bat Yam,3,3,0,1,80,5600,apartment,70
Bat Yam,4,4,0,2,82,5000,apartment,60.98
Bat Yam,2.5,2,1,3,58,4500,apartment,77.59
Bat Yam,3,3,0,3,80,4500,apartment,56.25
Bat Yam,4,4,0,32,118,8500,apartment,72.03
Bat Yam,2.5,2,1,4,75,3900,apartment,52
Bat Yam,4,4,0,2,95,6500,apartment,68.42
Bat Yam,3,3,0,1,65,3800,apartment,58.46
Bat Yam,3.5,3,1,2,84,5200,apartment,61.9
Bat Yam,3,3,0,3,80,4500,apartment,56.25
Bat Yam,4,4,0,4,117,7300,apartment,62.39
Bat Yam,3,3,0,1,65,4500,apartment,69.23
Bat Yam,3.5,3,1,4,90,5190,apartment,57.67
Bat Yam,5,5,0,0,140,9500,garden apartment,67.86
Bat Yam,5,5,0,1,100,7800,apartment,78
Bat Yam,3,3,0,2,90,8750,apartment,97.22
Bat Yam,4,4,0,7,240,15000,penthouse,62.5
Bat Yam,2.5,2,1,2,82,4100,apartment,50
Bat Yam,5,5,0,14,129,7900,apartment,61.24
Bat Yam,3,3,0,2,72,4200,apartment,58.33
Bat Yam,3,3,0,2,60,5500,apartment,91.67
Bat Yam,4,4,0,3,96,5200,apartment,54.17
Bat Yam,2.5,2,1,2,70,4200,apartment,60
Bat Yam,2,2,0,18,50,7000,apartment,140
