year,week,temp_mean,temp_min,temp_max,cold_hours,hot_hours,activity_level,activity_level_label,season
2012,40,15.683833913283042,7.4500000000000455,23.350000000000023,37,0,1,Minimal,2012-13
2012,41,7.817202380952402,0.020000000000038654,18.150000000000034,116,0,1,Minimal,2012-13
2012,42,12.615952380952406,3.75,24.140000000000043,66,0,1,Minimal,2012-13
2012,43,15.317589285714305,3.3000000000000114,27.650000000000034,36,6,1,Minimal,2012-13
2012,44,4.587869822485227,1.9800000000000182,7.910000000000025,169,0,1,Minimal,2012-13
2012,45,3.857916666666686,-3.819999999999993,18.5,150,0,1,Minimal,2012-13
2012,46,6.454880952380976,-2.2199999999999704,21.100000000000023,126,0,1,Minimal,2012-13
2012,47,5.311428571428591,-1.8999999999999773,15.28000000000003,131,0,1,Minimal,2012-13
2012,48,2.9793154761904996,-3.17999999999995,14.28000000000003,153,0,1,Minimal,2012-13
2012,49,8.792907738095261,-3.3899999999999864,18.379999999999995,89,0,1,Minimal,2012-13
2012,50,3.6957440476190704,-5.519999999999982,13.340000000000032,144,0,2,Minimal,2012-13
2012,51,4.844726190476213,-2.599999999999966,12.53000000000003,135,0,4,Low,2012-13
2012,52,-1.153288690476165,-6.189999999999998,3.5100000000000477,168,0,6,Moderate,2012-13
2013,1,-3.582123697916644,-12.399999999999977,4.32000000000005,192,0,3,Minimal,2012-13
2013,2,3.308409523809547,-7.149999999999977,15.960000000000036,144,0,6,Moderate,2012-13
2013,3,2.846035714285737,-7.599999999999966,19.189999999999998,142,0,8,High,2012-13
2013,4,-7.69061607142855,-15.239999999999952,7.640000000000043,168,0,4,Low,2012-13
2013,5,0.43812202380954224,-17.359999999999985,14.240000000000009,124,0,1,Minimal,2012-13
2013,6,-4.192113095238072,-12.870000000000005,4.8799999999999955,168,0,1,Minimal,2012-13
2013,7,0.9935357142857362,-7.3799999999999955,11.0,167,0,2,Minimal,2012-13
2013,8,-2.9277073412737864,-12.359999999999957,6.939999999999998,168,0,1,Minimal,2012-13
2013,9,-0.0476264880952166,-4.5,5.6200000000000045,168,0,1,Minimal,2012-13
2013,10,0.03030000000002437,-7.444999999999993,13.50750000000005,163,0,1,Minimal,2012-13
2013,11,4.40102108433737,-4.603999999999985,20.340000000000032,133,0,1,Minimal,2012-13
2013,12,-0.5776319444464052,-7.8700000000000045,7.080000000000041,168,0,1,Minimal,2012-13
2013,13,2.7105952380952623,-3.419999999999959,12.460000000000036,159,0,1,Minimal,2012-13
2013,14,3.457982142857163,-7.6299999999999955,14.189999999999998,144,0,1,Minimal,2012-13
2013,15,15.953750000000023,3.980000000000018,26.27000000000004,32,6,1,Minimal,2012-13
2013,16,14.116726190476212,-0.12000000000000455,28.700000000000045,44,11,1,Minimal,2012-13
2013,17,9.979434523809546,-2.909999999999968,22.99000000000001,86,0,1,Minimal,2012-13
2013,18,16.09523809523812,8.590000000000032,25.400000000000034,3,3,1,Minimal,2012-13
2013,19,16.236428571428593,8.29000000000002,24.689999999999998,5,0,1,Minimal,2012-13
2013,20,15.044258928571454,-0.5799999999999841,28.970000000000027,47,21,1,Minimal,2012-13
2013,21,17.64383630952383,0.6400000000000432,29.680000000000007,37,27,1,Minimal,2012-13
2013,22,19.84925595238097,2.75,30.310000000000002,19,49,1,Minimal,2012-13
2013,23,18.003095238095263,5.760000000000048,27.210000000000036,9,11,1,Minimal,2012-13
2013,24,19.8313779761905,9.970000000000027,27.260000000000048,1,19,1,Minimal,2012-13
2013,25,20.92502748016074,10.54000000000002,30.52000000000004,0,39,1,Minimal,2012-13
2013,26,23.02047023809526,15.82000000000005,31.78000000000003,0,43,1,Minimal,2012-13
2013,27,23.11402380952382,16.82000000000005,30.879999999999995,0,55,1,Minimal,2012-13
2013,28,21.8861904761905,14.28000000000003,28.950000000000045,0,30,1,Minimal,2012-13
2013,29,25.714697420636927,19.55000000000001,33.14000000000004,0,82,1,Minimal,2012-13
2013,30,20.19179761904764,10.879999999999995,28.200000000000045,0,20,1,Minimal,2012-13
2013,31,19.6016398809524,11.590000000000032,26.600000000000023,0,6,1,Minimal,2012-13
