,week,temp_mean,temp_min,temp_max,cold_hours,hot_hours,activity_level
week,1.0,0.2681026905826495,0.3203492312675456,0.21869884353416336,-0.20077398077062433,0.07123264841469909,-0.355670350046681
temp_mean,0.2681026905826495,1.0,0.960723854778416,0.9503880699214126,-0.963223448653794,0.7128276661359676,-0.4876420392562359
temp_min,0.3203492312675456,0.960723854778416,1.0,0.8690288734384749,-0.9154284103959798,0.6953118060716081,-0.45944577960164573
temp_max,0.21869884353416336,0.9503880699214126,0.8690288734384749,1.0,-0.9189754054918072,0.6621028635315519,-0.47540253507059244
cold_hours,-0.20077398077062433,-0.963223448653794,-0.9154284103959798,-0.9189754054918072,1.0,-0.63651303463783,0.4620578491109778
hot_hours,0.07123264841469909,0.7128276661359676,0.6953118060716081,0.6621028635315519,-0.63651303463783,1.0,-0.29560266041770394
activity_level,-0.355670350046681,-0.4876420392562359,-0.45944577960164573,-0.47540253507059244,0.4620578491109778,-0.29560266041770394,1.0
