pennsylvania_AL,pennsylvania_AL_label,pennsylvania_weekend,pennsylvania_week,pennsylvania_season
1,Minimal,2015-09-05,35,2014-15
1,Minimal,2015-09-12,36,2014-15
1,Minimal,2015-09-19,37,2014-15
1,Minimal,2015-09-26,38,2014-15
1,Minimal,2015-10-03,39,2014-15
1,Minimal,2015-10-10,40,2015-16
1,Minimal,2015-10-17,41,2015-16
1,Minimal,2015-10-24,42,2015-16
1,Minimal,2015-10-31,43,2015-16
1,Minimal,2015-11-07,44,2015-16
1,Minimal,2015-11-14,45,2015-16
1,Minimal,2015-11-21,46,2015-16
1,Minimal,2015-11-28,47,2015-16
1,Minimal,2015-12-05,48,2015-16
2,Minimal,2015-12-12,49,2015-16
2,Minimal,2015-12-19,50,2015-16
3,Minimal,2015-12-26,51,2015-16
4,Low,2016-01-02,52,2015-16
3,Minimal,2016-01-09,1,2015-16
2,Minimal,2016-01-16,2,2015-16
2,Minimal,2016-01-23,3,2015-16
3,Minimal,2016-01-30,4,2015-16
3,Minimal,2016-02-06,5,2015-16
3,Minimal,2016-02-13,6,2015-16
3,Minimal,2016-02-20,7,2015-16
5,Low,2016-02-27,8,2015-16
6,Moderate,2016-03-05,9,2015-16
9,High,2016-03-12,10,2015-16
6,Moderate,2016-03-19,11,2015-16
7,Moderate,2016-03-26,12,2015-16
5,Low,2016-04-02,13,2015-16
3,Minimal,2016-04-09,14,2015-16
3,Minimal,2016-04-16,15,2015-16
3,Minimal,2016-04-23,16,2015-16
3,Minimal,2016-04-30,17,2015-16
2,Minimal,2016-05-07,18,2015-16
1,Minimal,2016-05-14,19,2015-16
1,Minimal,2016-05-21,20,2015-16
1,Minimal,2016-05-28,21,2015-16
1,Minimal,2016-06-04,22,2015-16
1,Minimal,2016-06-11,23,2015-16
1,Minimal,2016-06-18,24,2015-16
1,Minimal,2016-06-25,25,2015-16
1,Minimal,2016-07-02,26,2015-16
1,Minimal,2016-07-09,27,2015-16
1,Minimal,2016-07-16,28,2015-16
1,Minimal,2016-07-23,29,2015-16
1,Minimal,2016-07-30,30,2015-16
1,Minimal,2016-08-06,31,2015-16
1,Minimal,2016-08-13,32,2015-16
1,Minimal,2016-08-20,33,2015-16
1,Minimal,2016-08-27,34,2015-16
1,Minimal,2016-09-03,35,2015-16
1,Minimal,2016-09-10,36,2015-16
1,Minimal,2016-09-17,37,2015-16
1,Minimal,2016-09-24,38,2015-16
1,Minimal,2016-10-01,39,2015-16
1,Minimal,2016-10-08,40,2016-17
1,Minimal,2016-10-15,41,2016-17
1,Minimal,2016-10-22,42,2016-17
1,Minimal,2016-10-29,43,2016-17
1,Minimal,2016-11-05,44,2016-17
1,Minimal,2016-11-12,45,2016-17
1,Minimal,2016-11-19,46,2016-17
1,Minimal,2016-11-26,47,2016-17
1,Minimal,2016-12-03,48,2016-17
1,Minimal,2016-12-10,49,2016-17
2,Minimal,2016-12-17,50,2016-17
2,Minimal,2016-12-24,51,2016-17
5,Low,2016-12-31,52,2016-17
4,Low,2017-01-07,1,2016-17
4,Low,2017-01-14,2,2016-17
7,Moderate,2017-01-21,3,2016-17
8,High,2017-01-28,4,2016-17
10,High,2017-02-04,5,2016-17
10,High,2017-02-11,6,2016-17
10,High,2017-02-18,7,2016-17
9,High,2017-02-25,8,2016-17
5,Low,2017-03-04,9,2016-17
4,Low,2017-03-11,10,2016-17
5,Low,2017-03-18,11,2016-17
3,Minimal,2017-03-25,12,2016-17
5,Low,2017-04-01,13,2016-17
2,Minimal,2017-04-08,14,2016-17
2,Minimal,2017-04-15,15,2016-17
1,Minimal,2017-04-22,16,2016-17
1,Minimal,2017-04-29,17,2016-17
1,Minimal,2017-05-06,18,2016-17
1,Minimal,2017-05-13,19,2016-17
1,Minimal,2017-05-20,20,2016-17
1,Minimal,2017-05-27,21,2016-17
1,Minimal,2017-06-03,22,2016-17
1,Minimal,2017-06-10,23,2016-17
1,Minimal,2017-06-17,24,2016-17
1,Minimal,2017-06-24,25,2016-17
1,Minimal,2017-07-01,26,2016-17
1,Minimal,2017-07-08,27,2016-17
1,Minimal,2017-07-15,28,2016-17
1,Minimal,2017-07-22,29,2016-17
1,Minimal,2017-07-29,30,2016-17
1,Minimal,2017-08-05,31,2016-17
1,Minimal,2017-08-12,32,2016-17
1,Minimal,2017-08-19,33,2016-17
1,Minimal,2017-08-26,34,2016-17
1,Minimal,2017-09-02,35,2016-17
1,Minimal,2017-09-09,36,2016-17
1,Minimal,2017-09-16,37,2016-17
1,Minimal,2017-09-23,38,2016-17
1,Minimal,2017-09-30,39,2016-17
1,Minimal,2017-10-07,40,2017-18
1,Minimal,2017-10-14,41,2017-18
1,Minimal,2017-10-21,42,2017-18
1,Minimal,2017-10-28,43,2017-18
2,Minimal,2017-11-04,44,2017-18
2,Minimal,2017-11-11,45,2017-18
2,Minimal,2017-11-18,46,2017-18
2,Minimal,2017-11-25,47,2017-18
2,Minimal,2017-12-02,48,2017-18
2,Minimal,2017-12-09,49,2017-18
3,Minimal,2017-12-16,50,2017-18
3,Minimal,2017-12-23,51,2017-18
