,actual,predicted
37253,2.5600000000000023,-2.2653232
37254,3.140000000000043,-2.2653232
37255,3.140000000000043,-2.2653232
37256,3.0,-2.2653232
37257,3.0,-2.2653232
37258,3.0,-2.2653232
37259,3.0,-2.2653232
37260,3.0,-2.2653232
37261,2.420000000000016,-2.2653232
37262,1.9800000000000184,-2.2653232
37263,0.9800000000000182,-2.2653232
37264,0.4000000000000341,-2.2653232
37265,-0.0399999999999636,-2.2653232
37266,-0.75,-2.2653232
37267,-0.3299999999999841,-2.2653232
37268,1.150000000000034,-2.2653232
37269,1.830000000000041,-2.2653232
37270,2.9700000000000277,-2.2653232
37271,3.830000000000041,-2.2653232
37272,4.830000000000041,-2.2653232
37273,5.970000000000027,-2.2653232
37274,6.28000000000003,-2.2653232
37275,6.010000000000048,-2.2653232
37276,4.660000000000025,-2.2653232
37277,1.7200000000000273,-2.2653232
37278,1.8700000000000043,-2.2653232
37279,1.6400000000000432,-2.2653232
37280,1.5400000000000205,-2.2653232
37281,2.170000000000016,-2.2653232
37282,1.990000000000009,-2.2653232
37283,2.160000000000025,-2.2653232
37284,2.150000000000034,-2.2653232
37285,2.8100000000000023,-2.2653232
37286,3.2800000000000296,-2.2653232
37287,3.57000000000005,-2.2653232
37288,4.0,-2.2653232
37289,4.410000000000025,-2.2653232
37290,4.830000000000041,-3.3033128
37291,5.420000000000016,-3.3033128
37292,5.840000000000032,-3.3033128
37293,6.57000000000005,-3.3033128
37294,6.840000000000032,-3.3033128
37295,7.28000000000003,-3.3033128
37296,7.57000000000005,-3.3033128
37297,8.140000000000043,-3.3033128
37298,7.990000000000009,-3.3033128
37299,7.5,-3.3033128
37300,7.490000000000009,-3.3033128
37301,7.5,-3.3033128
37302,7.370000000000003,-3.3033128
37303,7.0,-3.3033128
37304,6.8700000000000045,-3.3033128
37305,6.720000000000027,-3.3033128
37306,6.430000000000007,-3.3033128
37307,6.2900000000000205,-3.3033128
37308,6.2900000000000205,-3.3033128
37309,6.140000000000043,-3.3033128
37310,6.0,-3.3033128
37311,6.2900000000000205,-3.3033128
37312,6.710000000000036,-3.3033128
37313,6.6200000000000045,-3.3033128
37314,6.75,-3.3033128
37315,6.75,-3.3033128
37316,6.75,-3.3033128
37317,6.75,-3.3033128
37318,6.860000000000014,-3.3033128
37319,6.860000000000014,-3.3033128
37320,7.270000000000039,-3.3033128
37321,8.140000000000043,-3.3033128
37322,8.120000000000005,-3.3033128
37323,7.990000000000009,-3.3033128
37324,8.25,-3.3033128
37325,8.25,-3.3033128
37326,8.610000000000014,-2.9264944
37327,8.870000000000005,-2.9264944
37328,8.740000000000009,-2.9264944
37329,8.140000000000043,-2.9264944
37330,6.850000000000023,-2.9264944
37331,6.129999999999996,-2.9264944
37332,5.710000000000036,-2.9264944
37333,5.710000000000036,-2.9264944
37334,5.689999999999998,-2.9264944
37335,4.860000000000014,-2.9264944
37336,4.430000000000007,-2.9264944
37337,3.2900000000000205,-2.9264944
37338,2.510000000000048,-2.9264944
37339,2.140000000000043,-2.9264944
37340,1.8700000000000043,-2.9264944
37341,1.5,-2.9264944
37342,1.3600000000000136,-2.9264944
37343,0.8700000000000045,-2.9264944
37344,0.2700000000000386,-2.9264944
37345,-0.2599999999999909,-2.9264944
37346,-1.25,-2.9264944
37347,-2.1399999999999864,-2.9264944
37348,-3.019999999999982,-2.9264944
37349,-4.149999999999977,-2.9264944
37350,-4.75,-2.9264944
37351,-5.109999999999957,-2.9264944
37352,-5.879999999999996,-2.9264944
37353,-6.0,-2.9264944
37354,-6.289999999999964,-2.9264944
37355,-6.289999999999964,-2.9264944
37356,-6.42999999999995,-2.9264944
37357,-6.569999999999993,-2.9264944
