year,week,temp_mean,temp_min,temp_max,cold_hours,hot_hours,activity_level,activity_level_label,season
2012,40,13.19310463630191,1.7700000000000387,25.470000000000027,46,1,1,Minimal,2012-13
2012,41,9.495625000000022,1.3700000000000045,18.760000000000048,99,0,1,Minimal,2012-13
2012,42,11.78857142857145,4.770000000000039,20.760000000000048,77,0,1,Minimal,2012-13
2012,43,13.609077380952401,2.2000000000000455,25.850000000000023,61,4,1,Minimal,2012-13
2012,44,5.925177514792921,1.5100000000000477,11.450000000000045,164,0,2,Minimal,2012-13
2012,45,6.827976190476213,-0.39999999999997726,18.879999999999995,132,0,3,Minimal,2012-13
2012,46,4.831875000000023,-4.1200000000000045,20.900000000000034,136,0,2,Minimal,2012-13
2012,47,6.459583333333358,-3.2999999999999545,17.110000000000014,116,0,3,Minimal,2012-13
2012,48,3.129404761904785,-7.149999999999977,15.260000000000048,156,0,4,Low,2012-13
2012,49,8.195029761904786,-1.6599999999999682,21.180000000000007,108,0,6,Moderate,2012-13
2012,50,3.1702678571428784,-3.42999999999995,10.050000000000011,167,0,9,High,2012-13
2012,51,1.9531339285714524,-8.089999999999975,9.710000000000036,168,0,10,High,2012-13
2012,52,-0.951220238095213,-6.060000000000002,1.580000000000041,168,0,10,High,2012-13
2013,1,-5.795222656249976,-16.599999999999966,3.07000000000005,192,0,10,High,2012-13
2013,2,2.8676094246071653,-7.139999999999986,11.760000000000048,144,0,9,High,2012-13
2013,3,-2.2887886904761685,-10.909999999999968,7.760000000000048,168,0,8,High,2012-13
2013,4,-9.168574900791644,-17.919999999999987,-1.1299999999999955,168,0,7,Moderate,2012-13
2013,5,-1.5772916666666428,-15.079999999999984,14.0,142,0,7,Moderate,2012-13
2013,6,-2.305565476190453,-10.569999999999993,2.7700000000000387,168,0,6,Moderate,2012-13
2013,7,-0.20599305555355246,-10.319999999999993,9.300000000000011,168,0,6,Moderate,2012-13
2013,8,-3.7587589285714054,-12.769999999999982,10.950000000000045,164,0,4,Low,2012-13
2013,9,-0.7372197420654528,-8.109999999999957,5.050000000000011,168,0,5,Low,2012-13
2013,10,-0.7746630738502761,-9.289999999999964,6.230000000000018,167,0,4,Low,2012-13
2013,11,1.336549196783155,-5.269999999999982,10.660000000000025,164,0,5,Low,2012-13
2013,12,-2.515096230160691,-10.049999999999955,4.600000000000023,168,0,4,Low,2012-13
2013,13,3.333809523809549,-2.7299999999999613,14.620000000000005,150,0,4,Low,2012-13
2013,14,5.014494047619069,-3.9699999999999704,20.120000000000005,138,0,3,Minimal,2012-13
2013,15,6.524553571428593,1.5,18.439999999999998,144,0,2,Minimal,2012-13
2013,16,8.028392857142881,-0.8999999999999773,19.05000000000001,115,0,2,Minimal,2012-13
2013,17,9.487535714285737,-0.03999999999996362,19.760000000000048,94,0,1,Minimal,2012-13
2013,18,15.013690476190499,4.400000000000034,29.400000000000034,49,17,1,Minimal,2012-13
2013,19,13.586312500000025,6.800000000000011,24.24000000000001,52,0,1,Minimal,2012-13
2013,20,16.412848214285734,2.430000000000007,31.370000000000005,29,21,1,Minimal,2012-13
2013,21,17.011488095238118,4.590000000000032,31.670000000000016,36,30,1,Minimal,2012-13
2013,22,19.27495535714288,5.990000000000009,27.720000000000027,9,18,1,Minimal,2012-13
2013,23,14.39321428571431,5.07000000000005,22.700000000000045,28,0,1,Minimal,2012-13
2013,24,19.827217261904785,12.710000000000036,28.55000000000001,0,24,1,Minimal,2012-13
2013,25,21.438461507934544,11.350000000000023,31.54000000000002,0,33,1,Minimal,2012-13
2013,26,22.676005952380976,17.52000000000004,32.170000000000016,0,39,1,Minimal,2012-13
2013,27,20.49137500000002,14.090000000000032,28.83000000000004,0,33,1,Minimal,2012-13
2013,28,23.963583333333357,12.900000000000034,31.32000000000005,0,85,1,Minimal,2012-13
2013,29,27.466526785714308,20.49000000000001,34.60000000000002,0,115,1,Minimal,2012-13
2013,30,20.876257936505976,11.840000000000032,29.99000000000001,0,29,1,Minimal,2012-13
2013,31,19.811119047619073,12.82000000000005,28.510000000000048,0,19,1,Minimal,2012-13
2013,32,21.822919642857165,14.120000000000005,29.870000000000005,0,34,1,Minimal,2012-13
2013,33,19.701022321428592,11.0,28.29000000000002,0,19,1,Minimal,2012-13
2013,34,22.893018849202406,14.260000000000048,32.43000000000001,0,63,1,Minimal,2012-13
2013,35,24.602630952380974,18.560000000000002,34.57000000000005,0,70,1,Minimal,2012-13
2013,36,21.631328968250024,15.520000000000039,28.430000000000007,0,26,1,Minimal,2012-13
2013,37,21.946707242065497,10.0,35.33000000000004,0,59,1,Minimal,2012-13
2013,38,18.076953174601208,11.0,28.68900000000002,0,9,1,Minimal,2012-13
2013,39,17.114428273815495,8.620000000000005,26.845000000000027,2,15,1,Minimal,2012-13
2013,40,18.894142361107164,7.0,27.0,7,4,1,Minimal,2013-14
2013,41,14.93465555555359,7.0,23.510000000000048,29,0,1,Minimal,2013-14
2013,42,10.155789186505976,3.6000000000000227,17.120000000000005,88,0,1,Minimal,2013-14
2013,43,7.919181845238112,-1.0,13.660000000000025,107,0,1,Minimal,2013-14
